timestamp,device_id,x,y,rssi
2025-05-17T11:55:03.471297,1A:2B:3C:4D:5E:6F,67.24,53.34,-58.79544723673337
2025-05-17T11:55:12.222316,1A:2B:3C:4D:5E:6F,67.24,33.34,-57.55833210825216
2025-05-17T11:55:30.563017,E7:D6:C5:B4:A3:92,-26.19,76.53,-58.25085629755627
2025-05-17T11:55:47.371577,E7:D6:C5:B4:A3:92,-26.56,37.08,-53.26058988159453
2025-05-17T11:55:59.428441,E7:D6:C5:B4:A3:92,-26.7,15,-49.58079578073898
2025-05-17T11:56:26.637344,E7:D6:C5:B4:A3:92,-26.32,15,-49.587353601270465
2025-05-17T12:27:59.813873,1A:2B:3C:4D:5E:6F,67.24,24,-57.06537150185882
2025-05-17T12:30:16.552693,1A:2B:3C:4D:5E:6F,67.24,14,-56.82826024913348
2025-05-17T12:53:32.911320,E7:D6:C5:B4:A3:92,-26.32,25,-51.09778749367527
2025-05-17T12:53:36.389854,E7:D6:C5:B4:A3:92,-26.32,25,-51.18978636419726
2025-05-17T12:54:05.272673,E7:D6:C5:B4:A3:92,-26.32,15,-49.481621578662896
2025-05-17T12:56:34.569048,E7:D6:C5:B4:A3:92,-26.32,15.5,-49.60968779776921
2025-05-17T12:56:36.476294,E7:D6:C5:B4:A3:92,-26.32,15.5,-49.69323118434616
2025-05-17T12:56:36.909897,E7:D6:C5:B4:A3:92,-26.32,15.5,-49.65930682236383
2025-05-17T12:56:37.104803,E7:D6:C5:B4:A3:92,-26.32,15.5,-49.83311253079741
2025-05-17T12:56:45.656543,E7:D6:C5:B4:A3:92,-26.32,15.5,-49.661738333963086
2025-05-17T13:09:07.577704,E7:D6:C5:B4:A3:92,-26.32,15.55,-49.646941998539006
2025-05-17T13:09:18.095394,E7:D6:C5:B4:A3:92,-26.32,55.55,-55.83402807372113
2025-05-17T13:17:54.057653,1A:2B:3C:4D:5E:6F,67.24,24,-57.16237011224604
2025-05-17T13:19:02.454862,1A:2B:3C:4D:5E:6F,67.24,34,-57.48837793473358
2025-05-17T13:19:14.942206,A4:83:E7:42:DF:99,-23,8.19,-47.53507045583727
2025-05-17T13:19:37.509429,E7:D6:C5:B4:A3:92,-26.32,44,-54.37077708986769
2025-05-17T13:19:54.164612,E7:D6:C5:B4:A3:92,-26.39,44,-53.93575017215257
2025-05-17T13:20:18.780117,E7:D6:C5:B4:A3:92,-26.39,44,-54.15757642941679
2025-05-17T13:20:25.180964,E7:D6:C5:B4:A3:92,-26.39,30,-52.01948904952522
2025-05-17T13:20:31.880869,E7:D6:C5:B4:A3:92,-26.39,50,-55.094832564128396
2025-05-17T13:32:51.482038,E7:D6:C5:B4:A3:92,-26.39,21.3,-50.44899727658863
2025-05-17T13:34:46.429419,1A:2B:3C:4D:5E:6F,67.24,34.7,-57.52815762570118
2025-05-17T13:34:56.028913,1A:2B:3C:4D:5E:6F,67.24,24.7,-57.1641853226476
2025-05-17T13:36:15.526611,1A:2B:3C:4D:5E:6F,67.24,14.7,-56.73631023773558
2025-05-17T13:36:22.910732,1A:2B:3C:4D:5E:6F,67.24,94.7,-61.36078972220726
2025-05-17T13:36:26.719079,1A:2B:3C:4D:5E:6F,67.24,14.7,-56.731767887287845
2025-05-17T13:36:58.553109,1A:2B:3C:4D:5E:6F,67.24,54.7,-58.86119075116312
2025-05-17T13:41:34.929155,1A:2B:3C:4D:5E:6F,67.24,34.7,-57.7734258039405
2025-05-17T13:41:42.503805,1A:2B:3C:4D:5E:6F,67.24,24.7,-57.09543836982027
2025-05-17T13:43:57.524972,1A:2B:3C:4D:5E:6F,67.24,54.7,-58.5857037608874
2025-05-17T13:44:03.859159,1A:2B:3C:4D:5E:6F,67.24,94.7,-61.309397077340236
2025-05-17T13:44:48.991602,1A:2B:3C:4D:5E:6F,67.24,994.7,-79.92290696390158
2025-05-17T13:46:58.070761,1A:2B:3C:4D:5E:6F,67.24,1994.7,-86.11665578174404
2025-05-17T13:46:59.188581,1A:2B:3C:4D:5E:6F,67.24,1994.7,-85.91691047663241
2025-05-17T13:47:06.180436,1A:2B:3C:4D:5E:6F,67.24,94.7,-61.25657565511165
2025-05-17T13:47:13.323081,1A:2B:3C:4D:5E:6F,67.24,14.7,-56.93778709042789
2025-05-17T13:47:17.647698,1A:2B:3C:4D:5E:6F,17.24,14.7,-47.00586552763767
2025-05-17T13:47:21.911932,1A:2B:3C:4D:5E:6F,17.24,24.7,-49.626833671655206
2025-05-17T13:47:28.621209,1A:2B:3C:4D:5E:6F,17.24,4.7,-45.172038203055195
2025-05-17T14:40:27.687666,1A:2B:3C:4D:5E:6F,27.24,4.7,-48.70887241915601
2025-05-17T14:41:07.736491,1A:2B:3C:4D:5E:6F,27.24,8.7,-49.00204403071629
2025-05-17T14:42:52.268098,1A:2B:3C:4D:5E:6F,27.24,18.7,-50.36623725956942
2025-05-17T14:43:07.182937,E7:D6:C5:B4:A3:92,-26.39,61.3,-56.473761913340496
2025-05-17T14:45:19.390115,A4:83:E7:42:DF:99,-23,18.4,-49.26208279085296
2025-05-17T14:45:32.730881,1A:2B:3C:4D:5E:6F,27.24,28.7,-51.84667527640286
2025-05-17T14:47:05.055253,1A:2B:3C:4D:5E:6F,27.24,48.7,-54.92988665227759
2025-05-17T14:55:47.818521,1A:2B:3C:4D:5E:6F,27.24,29.1,-52.042051653327476
2025-05-17T14:55:55.159212,1A:2B:3C:4D:5E:6F,17.24,29.1,-50.688200739475036
2025-05-17T14:56:02.459693,1A:2B:3C:4D:5E:6F,47.24,59.1,-57.53739112691623
2025-05-17T15:00:14.086680,1A:2B:3C:4D:5E:6F,47.24,29.1,-54.92907725257608
2025-05-17T15:05:19.930864,E7:D6:C5:B4:A3:92,-26.39,71.3,-57.55479477635498
2025-05-17T15:05:25.013415,E7:D6:C5:B4:A3:92,-26.39,81.3,-58.642502960295175
2025-05-17T15:05:33.030430,E7:D6:C5:B4:A3:92,-6.39,21.3,-47.02223199726669
2025-05-17T15:05:43.522082,E7:D6:C5:B4:A3:92,-6.39,11.3,-42.217010684575186
2025-05-17T15:20:40.185697,A4:83:E7:42:DF:99,-13,38.4,-52.21454245366972
2025-05-17T15:25:34.072453,1A:2B:3C:4D:5E:6F,47.24,49.1,-56.89070313194006
2025-05-17T15:26:22.079057,1A:2B:3C:4D:5E:6F,47.24,49.7,-56.70454594787165
2025-05-17T15:47:41.436099,1A:2B:3C:4D:5E:6F,47.24,29.7,-54.849708604034944
